单词名,忘记次数,记得次数,需要背这个单词,难度,已查看次数,评论,图片有用
connoisseur,2,1,1,6.4925000000000015,3,品酒师,
dingy,2,1,1,6.4925000000000015,3,,0.0
proofread,2,1,1,6.4925000000000015,3,,
abiding,2,1,1,6.4925000000000015,3,,0.0
ream,2,1,1,6.4925000000000015,3,,0.0
oblivious,2,1,1,6.4925000000000015,3,,
oath,2,1,1,6.4925000000000015,3,,
lassitude,2,1,1,6.4925000000000015,3,,
waffle,2,1,1,6.4925000000000015,3,,
hasty,2,1,1,6.4925000000000015,3,,
seminal,2,1,1,6.4925000000000015,3,发改委,0.0
parody,2,1,1,6.4925000000000015,3,,
attest,2,1,1,6.4925000000000015,3,,0.0
defy,2,1,1,6.4925000000000015,3,,
jaded,2,1,1,6.4925000000000015,3,,
irradicable,2,1,1,6.4925000000000015,3,,
wan,2,1,1,6.4925000000000015,3,,
diatribe,2,1,1,6.4925000000000015,3,,
soak,2,1,1,6.4925000000000015,3,,
harrow,2,1,1,6.4925000000000015,3,,
notoriety,2,1,1,6.4925000000000015,3,,
menial,2,1,1,6.4925000000000015,3,men人，nial低下的,
didactic,2,1,1,6.4925000000000015,3,,
countermand,2,1,1,6.4925000000000015,3,,
comely,2,1,1,6.4925000000000015,3,,
acquisitive,2,1,1,6.4925000000000015,3,,
overture,3,1,1,6.4925000000000015,3,,0.0
coltish,2,1,1,6.4925000000000015,3,,
profundity,2,1,1,6.4925000000000015,3,,
vernacular,2,1,1,6.4925000000000015,3,,
abstain,2,1,1,6.4925000000000015,3,,
discern,2,1,1,6.4925000000000015,3,,
perpetual,2,1,1,6.4925000000000015,3,,
requite,2,1,1,6.4925000000000015,3,,
cardinal,2,1,1,6.4925000000000015,3,,0.0
crest,2,1,1,6.4925000000000015,3,,
covert,4,2,1,6.4925000000000015,3,,0.0
behoove,2,1,1,6.4925000000000015,3,,
glutton,2,1,1,6.4925000000000015,3,,
gambol,2,1,1,6.4925000000000015,3,,0.0
saddle,2,1,1,6.4925000000000015,3,,
want,2,2,1,6.4925000000000015,3,,
astounding,2,1,1,6.4925000000000015,3,,0.0
lackluster,2,1,1,6.4925000000000015,3,,
gladiator,2,1,1,6.4925000000000015,3,,
rhetorical,2,1,1,6.4925000000000015,3,,0.0
invigorate,2,1,1,6.4925000000000015,3,,
ruffle,2,1,1,6.4925000000000015,3,,
renounce,2,1,1,6.4925000000000015,3,,
euphemism,2,1,1,6.4925000000000015,3,,
retrograde,2,1,1,6.4925000000000015,3,,
congeal,2,1,1,6.4925000000000015,3,,
connive,2,1,1,6.4925000000000015,3,,
imperial,2,1,1,6.4925000000000015,3,,
badinage,2,1,1,6.4925000000000015,3,,0.0
glutinous,3,1,1,6.4925000000000015,3,,
stride,2,1,1,6.4925000000000015,3,,
nautical,2,1,1,6.4925000000000015,3,,
precarious,2,1,1,6.4925000000000015,3,,
swill,2,1,1,6.4925000000000015,3,,
vagary,2,1,1,6.4925000000000015,3,,
backfire,2,1,1,6.4925000000000015,3,,
wiretap,2,1,1,6.4925000000000015,3,,
poach,2,1,1,6.4925000000000015,3,,
petition,2,1,1,6.4925000000000015,3,,
hale,2,1,1,6.4925000000000015,3,,
unremitting,2,1,1,6.4925000000000015,3,mit间断，un不,0.0
sequester,2,1,1,6.4925000000000015,3,,
churl,2,1,1,6.4925000000000015,3,,0.0
headlong,2,1,1,6.4925000000000015,3,,
drench,2,1,1,6.4925000000000015,3,,
apparition,2,1,1,6.4925000000000015,3,,
synonymous,2,1,1,6.4925000000000015,3,,
repertoire,2,1,1,6.4925000000000015,3,,
maudlin,2,1,1,6.4925000000000015,3,,
illiteracy,2,1,1,6.4925000000000015,3,,
figurative,2,1,1,6.4925000000000015,3,,
coerce,2,1,1,6.4925000000000015,3,,
delve,2,1,1,6.4925000000000015,3,,
uncanny,3,1,1,6.4925000000000015,3,,
unruly,2,1,1,6.4925000000000015,3,,
salubrious,2,1,1,6.4925000000000015,3,,
misgiving,2,1,1,6.4925000000000015,3,,
onerous,2,1,1,6.4925000000000015,3,,
slate,2,1,1,6.4925000000000015,3,,0.0
sullen,2,1,1,6.4925000000000015,3,,
exult,2,1,1,6.4925000000000015,3,,
mellifluous,2,1,1,6.4925000000000015,3,mellif美丽的,
nonchalant,2,1,1,6.4925000000000015,3,,
wanderlust,2,1,1,6.4925000000000015,3,,
ad-lib,2,1,1,6.4925000000000015,3,,0.0
wastrel,2,1,1,6.4925000000000015,3,"waste浪费,rel人",
diocesan,2,1,1,6.4925000000000015,3,,
paltry,2,1,1,6.4925000000000015,3,,0.0
malodorous,2,1,1,6.4925000000000015,3,,
enmity,2,1,1,6.4925000000000015,3,,
asunder,2,1,1,6.4925000000000015,3,,
fertilize,2,1,1,6.4925000000000015,3,,
rookie,2,1,1,6.4925000000000015,3,,
palmy,2,1,1,6.4925000000000015,3,,
corroborate,2,1,1,6.4925000000000015,3,,
jape,2,1,1,6.4925000000000015,3,,
fetid,2,1,1,6.4925000000000015,3,,
sodden,2,1,1,6.4925000000000015,3,sodden，soen上面是水平面，dd沉入了水面。sodden,0.0
haunt,2,1,1,6.4925000000000015,3,,
lofty,2,1,1,6.4925000000000015,3,,
zesty,2,1,1,6.4925000000000015,3,,
sober,2,1,1,6.4925000000000015,3,,
barter,2,1,1,6.4925000000000015,3,,
canny,2,1,1,6.4925000000000015,3,,
languor,2,1,1,6.4925000000000015,3,,
hasten,2,1,1,6.4925000000000015,3,,
cache,2,1,1,6.4925000000000015,3,,
dispose,2,1,1,6.4925000000000015,3,,
jingoist,2,1,1,6.4925000000000015,3,,
daredevil,2,1,1,6.4925000000000015,3,,
align,2,1,1,6.4925000000000015,3,,
jaunty,2,1,1,6.4925000000000015,3,,
stealth,2,1,1,6.4925000000000015,3,,
affectation,2,1,1,6.4925000000000015,3,,0.0
burlesque,2,1,1,6.4925000000000015,3,,
coeval,2,1,1,6.4925000000000015,3,,
salutary,2,1,1,6.4925000000000015,3,,
appropriate,2,1,1,6.4925000000000015,3,,
indigenous,2,1,1,6.4925000000000015,3,,
babble,2,1,1,6.4925000000000015,3,,
tantalize,2,1,1,6.4925000000000015,3,,
vehement,2,1,1,6.4925000000000015,3,,
protract,2,1,1,6.4925000000000015,3,,
wince,2,1,1,6.4925000000000015,3,,
vicissitude,2,1,1,6.4925000000000015,3,,
stench,2,1,1,6.4925000000000015,3,,
guile,2,1,1,6.4925000000000015,3,,0.0
misanthropic,2,1,1,6.4925000000000015,3,anthro人类的,
jovial,2,1,1,6.4925000000000015,3,,
rubicund,2,1,1,6.4925000000000015,3,,
pervade,2,1,1,6.4925000000000015,3,,
conform,2,1,1,6.4925000000000015,3,,
incessant,2,1,1,6.4925000000000015,3,,
cognizant,2,1,1,6.4925000000000015,3,,0.0
slipshod,2,1,1,6.4925000000000015,3,,
venial,2,1,1,6.4925000000000015,3,,
askew,2,1,1,6.4925000000000015,3,,
humble,2,1,1,6.4925000000000015,3,,
harry,2,1,1,6.4925000000000015,3,,
tyro,2,1,1,6.4925000000000015,3,,
tinge,2,1,1,6.4925000000000015,3,,
reign,2,1,1,6.4925000000000015,3,,
practitioner,2,1,1,6.4925000000000015,3,,
smug,6,1,1,6.4907007637500005,8,smug，死，mu大，g笑。以死的决心大笑,0.0
smuggling,10,2,1,6.4907007637500005,8,smug，死，mu大，g笑。以死的决心大笑,0.0
sonnet,12,3,1,6.489941855593868,15,,
hegemony,9,2,1,6.4898077532448,12,,
intoxicant,5,1,1,6.479466883928572,7,,
rankle,6,2,1,6.473387925000003,8,,
anesthetic,13,2,1,6.469536035598877,15,,
brassy,6,2,1,6.46873781625,8,,0.0
anachronistic,5,1,1,6.464880375,7,,
clout,10,3,1,6.462441951211253,13,,0.0
mercurial,5,1,1,6.451752516964286,7,,0.0
hideous,5,1,1,6.451752516964286,7,藏起来。太丑了。,0.0
ordeal,5,1,1,6.451752516964286,7,"自定义笔记系统~
after a three-day ordeal in the wilderness. 在野外度过了三天的严峻考验之后，登山者终于获救了。",0.0
idiosyncrasy,7,2,1,6.448746096070832,9,,
rostrum,7,2,1,6.448746096070832,9,,
regimen,7,2,1,6.446537626565209,9,re gi men,0.0
waft,7,2,1,6.446537626565209,9,"wa,张大口，f，吹气，t吹闭",
paunchy,7,2,1,6.446537626565209,9,胖池,
incense,7,2,1,6.446537626565209,9,,
svelte,7,2,1,6.446537626565209,9,,
rectitude,7,2,1,6.446537626565209,9,,
infuriate,7,2,1,6.446537626565209,9,,0.0
preternatural,7,2,1,6.446537626565209,9,,0.0
sumptuous,7,2,1,6.446537626565209,9,sump富华，tuous表面的 虚伪的,
reprove,7,2,1,6.446537626565209,9,,
prostrate,7,2,1,6.446537626565209,9,,
presumptuous,10,3,1,6.446537626565209,9,"sump富华，tuous表面的 虚伪的
pre之前，sumptuous豪华，豪华之前放肆，不拘一格",
abstemious,7,2,1,6.446537626565209,9,,
nomad,7,2,1,6.446537626565209,9,,
petulant,7,2,1,6.446537626565209,9,,
precipitation,7,2,1,6.446537626565209,9,,
unwonted,7,2,1,6.446537626565209,9,,0.0
leaven,7,2,1,6.446537626565209,9,leave离开了，就轻松了，就是天堂，heaven,
relish,17,3,1,6.4236024692443605,20,,
plausible,4,1,1,6.4216250000000015,6,,
redolent,13,3,1,6.419952538693818,16,,
despotic,5,1,1,6.419338052678572,7,,
runic,5,2,1,6.419078736964287,7,,
volition,5,2,1,6.419078736964287,7,,
sinecure,5,2,1,6.419078736964287,7,反义词travail 艰苦的工作,0.0
cornucopia,5,2,1,6.419078736964287,7,,
penchant,10,3,1,6.3920650134142605,13,,
relinquish,10,2,1,6.391418019005452,12,re反，linqui离开，sh的,0.0
persecute,10,2,1,6.391418019005452,12,,
spindly,10,2,1,6.391418019005452,12,,
ribald,15,3,1,6.381867028542793,18,ri bald,
convalesce,8,2,1,6.373145045034822,11,,
pious,6,1,1,6.364706417070315,9,,
frosty,4,1,1,6.361026875,6,,
pusillanimous,4,1,1,6.361026875,6,,0.0
nuance,4,1,1,6.361026875,6,,0.0
abet,4,1,1,6.361026875,6,,
croon,4,1,1,6.361026875,6,,
prudent,17,6,1,6.358444307248923,17,君子,
prude,14,3,1,6.358444307248923,17,君子,
quotidian,6,1,1,6.357876569843751,9,,
retaliate,14,3,1,6.355911051530688,17,,
perforate,9,2,1,6.355700151644932,11,,
infiltrate,9,2,1,6.355700151644932,11,,
idolatrize,9,2,1,6.355700151644932,11,,0.0
nugatory,9,2,1,6.355700151644932,11,,0.0
heckle,9,2,1,6.355700151644932,11,"he 大声说嘿，ckle手掌弯曲作喇叭状
he 大声说嘿，ckle手掌弯曲作喇叭状。起哄",1.0
animus,9,2,1,6.355700151644932,11,,
surrogate,9,2,1,6.355700151644932,11,sur表面，abrogate废除，rogate不废除。表面不废除，表面增加一个，替代,0.0
vicarious,9,3,1,6.3500907786793945,11,use Internet as a vicarious form of social life 把互联网当作一种虚拟的社交生活,1.0
patronize,3,1,1,6.3441,5,patron n. 赞助人,
unavailing,14,3,1,6.343799200047302,17,,0.0
hodgepodge,2,1,1,6.335000000000001,3,,
expansive,0,2,1,6.335000000000001,3,,
pandemonium,2,2,1,6.335000000000001,3,,
discrepancy,1,2,1,6.335000000000001,3,,
flippancy,0,1,1,6.335000000000001,3,,
panegyric,3,2,1,6.335000000000001,3,,
pan,0,1,1,6.335000000000001,3,,
pandemic,1,2,1,6.335000000000001,3,,0.0
deadpan,2,2,1,6.335000000000001,3,冷漠脸,
rampant,4,2,1,6.335000000000001,3,,0.0
advert,3,2,1,6.3319419,5,,
inadvertent,9,4,1,6.3319419,5,,
temporal,4,1,1,6.329133125000001,6,"temporal concerns, but instead focus on spiritual matters",0.0
recluse,7,2,1,6.325579764066815,9,,0.0
unpretentious,5,2,1,6.323131922678572,7,,0.0
vituperate,8,2,1,6.312718328139255,10,vituperate,
peeve,8,2,1,6.312718328139255,10,pee屁 ve小事,0.0
ostensible,8,2,1,6.312718328139255,10,,1.0
repugnant,8,2,1,6.312718328139255,10,,
lopsided,8,2,1,6.312718328139255,10,,1.0
inexorable,9,1,1,6.3103592174697765,14,,
petrify,5,2,1,6.309290946428571,7,,
immanent,12,3,1,6.301989349599983,15,,0.0
sepulchral,12,3,1,6.2994245437696375,15,黑暗亡灵,
sordid,5,2,1,6.29908039017857,7,,
proselytize,5,1,1,6.298449375,8,,
subservient,4,1,1,6.2869625000000005,6,,
diaphanous,7,1,1,6.284221579163438,10,,
contumacious,4,1,1,6.2805,7,,
subjugate,9,2,1,6.276738612684983,12,,
rancor,3,1,1,6.274845,5,,
jubilant,6,3,1,6.2744831843750015,9,,
provident,3,2,1,6.27447078125,6,,
dent,3,2,1,6.27447078125,6,,
confident,3,3,1,6.27447078125,6,,
providential,4,2,1,6.27447078125,6,,
strident,5,3,1,6.27447078125,6,,
diffident,3,2,1,6.27447078125,6,,
impudent,3,2,1,6.27447078125,6,,
decadent,3,2,1,6.27447078125,6,,
accidental,3,2,1,6.27447078125,6,,
sedentary,3,2,1,6.27447078125,6,,
apposite,1,1,1,6.2700000000000005,2,,
reel,1,1,1,6.2700000000000005,2,,
jolt,1,1,1,6.2700000000000005,2,,
demotic,1,1,1,6.2700000000000005,2,,
gloss,1,1,1,6.2700000000000005,2,,
dilute,1,1,1,6.2700000000000005,2,,
flounder,1,1,1,6.2700000000000005,2,,
boon,4,2,1,6.2700000000000005,2,,0.0
census,1,1,1,6.2700000000000005,2,,
beholden,1,1,1,6.2700000000000005,2,,0.0
ascendant,1,1,1,6.2700000000000005,2,,
lavish,1,1,1,6.2700000000000005,2,lavi贵，sh消失,0.0
negation,1,1,1,6.2700000000000005,2,,
rejoice,1,1,1,6.2700000000000005,2,,
blast,1,1,1,6.2700000000000005,2,,
sling,1,1,1,6.2700000000000005,2,,
garish,1,1,1,6.2700000000000005,2,,
extrapolate,1,1,1,6.2700000000000005,2,,
insentient,1,1,1,6.2700000000000005,2,,
upbraid,1,1,1,6.2700000000000005,2,,
glaze,1,1,1,6.2700000000000005,2,,
simile,1,1,1,6.2700000000000005,2,一切尽在不言中，笑一笑就懂了,
abysmal,1,1,1,6.2700000000000005,2,,
intermittent,2,1,1,6.2700000000000005,2,,
coy,1,1,1,6.2700000000000005,2,,
dearth,1,1,1,6.2700000000000005,2,,
lugubrious,1,1,1,6.2700000000000005,2,,
exponent,1,1,1,6.2700000000000005,2,,
shallow,1,1,1,6.2700000000000005,2,,
aloft,1,1,1,6.2700000000000005,2,,
nourish,1,1,1,6.2700000000000005,2,,
fracture,1,1,1,6.2700000000000005,2,,
concerted,1,1,1,6.2700000000000005,2,,
fascinate,1,1,1,6.2700000000000005,2,,
concave,1,1,1,6.2700000000000005,2,,
digress,1,1,1,6.2700000000000005,2,,
immaterial,1,1,1,6.2700000000000005,2,,
cowardice,1,2,1,6.2700000000000005,2,,
interregnum,2,2,1,6.2700000000000005,2,,
grate,1,1,1,6.2700000000000005,2,,0.0
hone,1,1,1,6.2700000000000005,2,,
vertigo,1,1,1,6.2700000000000005,2,,
imperative,1,1,1,6.2700000000000005,2,,
lug,1,1,1,6.2700000000000005,2,,
plummet,1,1,1,6.2700000000000005,2,蹦极,
decorum,1,1,1,6.2700000000000005,2,,
brash,1,2,1,6.2700000000000005,2,,0.0
construct,1,1,1,6.2700000000000005,2,,
sloppy,1,1,1,6.2700000000000005,2,,
ethos,1,1,1,6.2700000000000005,2,,
alleviate,1,1,1,6.2700000000000005,2,,
rebuff,1,1,1,6.2700000000000005,2,,
fallow,1,1,1,6.2700000000000005,2,,
blandishment,1,1,1,6.2700000000000005,2,,
sparse,1,1,1,6.2700000000000005,2,,
hack,1,1,1,6.2700000000000005,2,,
feckless,1,1,1,6.2700000000000005,2,,
mutter,2,2,1,6.2700000000000005,2,,
outgrowth,1,1,1,6.2700000000000005,2,,
abate,1,1,1,6.2700000000000005,2,,0.0
superficial,1,1,1,6.2700000000000005,2,,
partition,1,1,1,6.2700000000000005,2,,
allay,1,1,1,6.2700000000000005,2,,
argot,1,1,1,6.2700000000000005,2,,
tether,1,1,1,6.2700000000000005,2,,
haphazard,1,1,1,6.2700000000000005,2,,
implicit,1,1,1,6.2700000000000005,2,,
boycott,1,1,1,6.2700000000000005,2,,
vociferous,1,1,1,6.2700000000000005,2,,
potentiate,1,1,1,6.2700000000000005,2,,
bifurcate,1,1,1,6.2700000000000005,2,,
lubricate,1,1,1,6.2700000000000005,2,,
instill,1,1,1,6.2700000000000005,2,,
novice,1,1,1,6.2700000000000005,2,,
palaver,1,1,1,6.2700000000000005,2,,
prairie,1,1,1,6.2700000000000005,2,,
ingest,1,1,1,6.2700000000000005,2,,
ineluctable,1,1,1,6.2700000000000005,2,,
acknowledge,1,1,1,6.2700000000000005,2,,
strip,1,1,1,6.2700000000000005,2,,
principal,1,1,1,6.2700000000000005,2,,
montage,1,1,1,6.2700000000000005,2,,
brittle,1,1,1,6.2700000000000005,2,,
maverick,1,1,1,6.2700000000000005,2,,
disparate,1,1,1,6.2700000000000005,2,,
turgid,1,1,1,6.2700000000000005,2,,
piddling,1,1,1,6.2700000000000005,2,,
deplore,1,1,1,6.2700000000000005,2,,
skittish,1,1,1,6.2700000000000005,2,,
unexceptionable,1,1,1,6.2700000000000005,2,,
intercessor,1,1,1,6.2700000000000005,2,,
eclectic,1,1,1,6.2700000000000005,2,,
repatriate,1,1,1,6.2700000000000005,2,,
mumble,1,1,1,6.2700000000000005,2,,
probe,1,1,1,6.2700000000000005,2,,
belie,1,1,1,6.2700000000000005,2,,
tangible,1,1,1,6.2700000000000005,2,,
husk,1,1,1,6.2700000000000005,2,,
recalcitrant,2,1,1,6.2700000000000005,2,小孩子不听话，叫做recalcitrant,
quaver,2,1,1,6.2700000000000005,2,,
transcend,1,1,1,6.2700000000000005,2,,0.0
nip,1,1,1,6.2700000000000005,2,,
gist,1,1,1,6.2700000000000005,2,,0.0
bedeck,1,1,1,6.2700000000000005,2,,
fragile,1,1,1,6.2700000000000005,2,,
commitment,1,1,1,6.2700000000000005,2,,
stringent,1,1,1,6.2700000000000005,2,,
pleat,1,1,1,6.2700000000000005,2,,
chaperone,1,1,1,6.2700000000000005,2,护航,0.0
exorcise,1,1,1,6.2700000000000005,2,,
anemic,1,1,1,6.2700000000000005,2,,
repress,1,1,1,6.2700000000000005,2,,
nauseate,1,1,1,6.2700000000000005,2,,0.0
tepid,1,1,1,6.2700000000000005,2,,
beneficent,1,1,1,6.2700000000000005,2,,
supposition,1,1,1,6.2700000000000005,2,,
utter,1,1,1,6.2700000000000005,2,,
grandiloquent,1,1,1,6.2700000000000005,2,,
furor,1,1,1,6.2700000000000005,2,,
prospect,1,1,1,6.2700000000000005,2,,
fusty,1,1,1,6.2700000000000005,2,,
delineate,1,1,1,6.2700000000000005,2,"de用,line画线，ate表达。用画线表达",
emaciate,1,1,1,6.2700000000000005,2,,
aberrant,1,2,1,6.2700000000000005,2,,
surcharge,1,1,1,6.2700000000000005,2,,
awry,2,1,1,6.2700000000000005,2,,0.0
bumptious,1,1,1,6.2700000000000005,2,,
ticklish,1,1,1,6.2700000000000005,2,,
unlettered,1,1,1,6.2700000000000005,2,,
scowl,1,1,1,6.2700000000000005,2,,
balm,1,1,1,6.2700000000000005,2,,
retribution,1,1,1,6.2700000000000005,2,,
slumber,1,1,1,6.2700000000000005,2,,
sanctuary,1,1,1,6.2700000000000005,2,,
shackle,2,1,1,6.2700000000000005,2,,
fervor,1,1,1,6.2700000000000005,2,,
regenerate,1,1,1,6.2700000000000005,2,,
coronation,1,1,1,6.2700000000000005,2,,
flout,1,1,1,6.2700000000000005,2,,
dictate,1,1,1,6.2700000000000005,2,,
censure,1,1,1,6.2700000000000005,2,,
homage,1,1,1,6.2700000000000005,2,,
filibuster,1,1,1,6.2700000000000005,2,,
inimitable,1,1,1,6.2700000000000005,2,,
crow,1,1,1,6.2700000000000005,2,,
succinct,1,1,1,6.2700000000000005,2,,
trite,2,2,1,6.2700000000000005,2,,
explicate,1,1,1,6.2700000000000005,2,,
twig,1,1,1,6.2700000000000005,2,,
ally,1,1,1,6.2700000000000005,2,,
absent,1,1,1,6.2700000000000005,2,,
crouch,1,1,1,6.2700000000000005,2,,
segment,1,1,1,6.2700000000000005,2,,
decrepit,1,1,1,6.2700000000000005,2,,
interdict,1,2,1,6.2700000000000005,2,,
underdog,1,1,1,6.2700000000000005,2,,
caprice,1,1,1,6.2700000000000005,2,,
conspicuous,1,1,1,6.2700000000000005,2,,
usurp,1,1,1,6.2700000000000005,2,,
repulse,1,1,1,6.2700000000000005,2,,
calibrate,1,1,1,6.2700000000000005,2,,
reluctant,1,1,1,6.2700000000000005,2,,
rivulet,1,1,1,6.2700000000000005,2,,
gibe,1,1,1,6.2700000000000005,2,,
forthright,1,1,1,6.2700000000000005,2,,
omniscient,1,1,1,6.2700000000000005,2,omni全的，scien科学知识,
daft,1,1,1,6.2700000000000005,2,,
windbag,1,1,1,6.2700000000000005,2,,
daunt,1,1,1,6.2700000000000005,2,,
affix,1,1,1,6.2700000000000005,2,,
sluggard,4,2,1,6.2700000000000005,2,,
detract,1,1,1,6.2700000000000005,2,,
halfhearted,1,1,1,6.2700000000000005,2,hearted热情，half一半热情,
pine,1,1,1,6.2700000000000005,2,,
abeyance,1,1,1,6.2700000000000005,2,,
analogous,1,1,1,6.2700000000000005,2,,
channel,1,1,1,6.2700000000000005,2,,
influx,1,1,1,6.2700000000000005,2,,
condole,1,1,1,6.2700000000000005,2,,
accost,1,1,1,6.2700000000000005,2,,
toady,1,1,1,6.2700000000000005,2,,
disregard,1,1,1,6.2700000000000005,2,,
aversion,3,2,1,6.2700000000000005,2,,
cosmopolitan,1,1,1,6.2700000000000005,2,,
carefree,1,1,1,6.2700000000000005,2,,
entangle,2,2,1,6.2700000000000005,2,,
retouch,1,1,1,6.2700000000000005,2,,
reap,1,1,1,6.2700000000000005,2,,
monopolize,1,1,1,6.2700000000000005,2,,
predecessor,1,1,1,6.2700000000000005,2,,
consummate,1,1,1,6.2700000000000005,2,,0.0
renovate,1,1,1,6.2700000000000005,2,,
erroneous,1,1,1,6.2700000000000005,2,,
dike,1,1,1,6.2700000000000005,2,,
incriminate,1,1,1,6.2700000000000005,2,,
epic,1,1,1,6.2700000000000005,2,,
falter,1,1,1,6.2700000000000005,2,,
inter,1,1,1,6.2700000000000005,2,,
scission,1,1,1,6.2700000000000005,2,,
fickle,1,1,1,6.2700000000000005,2,,
haven,1,1,1,6.2700000000000005,2,,
disengage,1,1,1,6.2700000000000005,2,,
convoke,1,1,1,6.2700000000000005,2,,
warrant,1,2,1,6.2700000000000005,2,,
exhort,1,1,1,6.2700000000000005,2,,0.0
propagate,1,1,1,6.2700000000000005,2,,
splinter,1,1,1,6.2700000000000005,2,,
distal,1,1,1,6.2700000000000005,2,末端,
chagrin,1,1,1,6.2700000000000005,2,,
mettle,1,1,1,6.2700000000000005,2,,
grandeur,1,1,1,6.2700000000000005,2,,0.0
mendacious,1,1,1,6.2700000000000005,2,,
secluded,1,1,1,6.2700000000000005,2,,
conditional,1,1,1,6.2700000000000005,2,,
reserved,1,1,1,6.2700000000000005,2,,
irascible,1,1,1,6.2700000000000005,2,,
antagonize,1,2,1,6.2700000000000005,2,,
denounce,1,1,1,6.2700000000000005,2,,
demote,1,1,1,6.2700000000000005,2,,
commiserate,1,1,1,6.2700000000000005,2,,
malicious,1,1,1,6.2700000000000005,2,,
fad,1,1,1,6.2700000000000005,2,,
knead,1,1,1,6.2700000000000005,2,,
disconcert,1,1,1,6.2700000000000005,2,,
dour,1,1,1,6.2700000000000005,2,,
equable,1,1,1,6.2700000000000005,2,,
canard,1,1,1,6.2700000000000005,2,,
ubiquitous,1,1,1,6.2700000000000005,2,,
favoritism,1,1,1,6.2700000000000005,2,,
sand,1,1,1,6.2700000000000005,2,,0.0
ductile,1,1,1,6.2700000000000005,2,,
seemly,1,1,1,6.2700000000000005,2,,
carp,1,1,1,6.2700000000000005,2,,
exterminate,1,1,1,6.2700000000000005,2,,
impeccable,1,1,1,6.2700000000000005,2,,
consequence,1,1,1,6.2700000000000005,2,,
interminable,1,1,1,6.2700000000000005,2,,
apathy,1,1,1,6.2700000000000005,2,,
sluggish,2,2,1,6.2700000000000005,2,,
conducive,1,1,1,6.2700000000000005,2,,
splice,1,1,1,6.2700000000000005,2,,
wrest,1,1,1,6.2700000000000005,2,,
evasive,1,1,1,6.2700000000000005,2,,
effusive,1,1,1,6.2700000000000005,2,,
countenance,1,1,1,6.2700000000000005,2,,
beleaguer,1,1,1,6.2700000000000005,2,,
fringe,1,1,1,6.2700000000000005,2,,
dread,1,1,1,6.2700000000000005,2,,
languid,1,1,1,6.2700000000000005,2,,
agonize,1,1,1,6.2700000000000005,2,,
mosque,1,1,1,6.2700000000000005,2,,
traverse,2,2,1,6.2700000000000005,2,,
translucent,1,1,1,6.2700000000000005,2,,
roisterer,1,1,1,6.2700000000000005,2,,
excrete,1,1,1,6.2700000000000005,2,,0.0
surfeit,1,1,1,6.2700000000000005,2,,
airtight,1,1,1,6.2700000000000005,2,,
fiasco,1,1,1,6.2700000000000005,2,滑铁卢fiasco,
effete,1,1,1,6.2700000000000005,2,,
rant,1,1,1,6.2700000000000005,2,,
paramount,1,1,1,6.2700000000000005,2,,
harangue,1,1,1,6.2700000000000005,2,,
defile,1,1,1,6.2700000000000005,2,,
offish,1,1,1,6.2700000000000005,2,,
vocation,1,1,1,6.2700000000000005,2,,
intuitive,1,1,1,6.2700000000000005,2,,
dally,2,2,1,6.2700000000000005,2,,
tractable,1,1,1,6.2700000000000005,2,,
verdant,1,1,1,6.2700000000000005,2,,
evacuate,1,1,1,6.2700000000000005,2,,
insensible,1,1,1,6.2700000000000005,2,,
grisly,1,1,1,6.2700000000000005,2,,
snarl,1,1,1,6.2700000000000005,2,,
torrid,1,1,1,6.2700000000000005,2,,
aggravate,1,1,1,6.2700000000000005,2,,
anarchist,1,1,1,6.2700000000000005,2,,
exquisite,1,1,1,6.2700000000000005,2,华丽，过度,
versed,2,1,1,6.2700000000000005,2,,
abnegate,1,1,1,6.2700000000000005,2,ab 反，neg 反对，gate说,
tirade,1,1,1,6.2700000000000005,2,,
undergird,1,1,1,6.2700000000000005,2,,
deject,1,1,1,6.2700000000000005,2,,
hackneyed,2,1,1,6.2700000000000005,2,,
barbarous,1,1,1,6.2700000000000005,2,,
respire,1,1,1,6.2700000000000005,2,,
scrutinize,1,1,1,6.2700000000000005,2,,
reconcile,1,1,1,6.2700000000000005,2,re重新，concile合起来、和解,
ruthless,1,2,1,6.2700000000000005,2,,
banal,1,1,1,6.2700000000000005,2,,
seduce,1,1,1,6.2700000000000005,2,,
deft,1,1,1,6.2700000000000005,2,,0.0
laborious,1,1,1,6.2700000000000005,2,,
nadir,1,1,1,6.2700000000000005,2,,1.0
pivotal,1,1,1,6.2700000000000005,2,,0.0
complacent,1,1,1,6.2700000000000005,2,,
speculate,1,1,1,6.2700000000000005,2,,
cameo,1,1,1,6.2700000000000005,2,,
aver,1,1,1,6.2700000000000005,2,,
cower,1,1,1,6.2700000000000005,2,,
bland,1,1,1,6.2700000000000005,2,,
impostor,1,1,1,6.2700000000000005,2,,
sabotage,1,1,1,6.2700000000000005,2,,
vouchsafe,2,1,1,6.2700000000000005,2,,
sedulous,1,1,1,6.2700000000000005,2,,
clasp,1,1,1,6.2700000000000005,2,,
ensemble,1,1,1,6.2700000000000005,2,,
dodder,1,1,1,6.2700000000000005,2,,
hesitance,1,1,1,6.2700000000000005,2,,
acme,1,1,1,6.2700000000000005,2,,
buttress,1,1,1,6.2700000000000005,2,,
hybrid,1,1,1,6.2700000000000005,2,,
demagogue,1,4,1,6.2700000000000005,2,gog目瞪口呆，极度吸引人，感兴趣,
tacit,1,1,1,6.2700000000000005,2,,
